Time,Resistance
119214,44570.88
119325,44573.08
119436,44574.78
119547,44576.5
119658,44577.7
119769,44578.92
119880,44579.18
119991,44589.64
120102,44605.98
120213,44632.3
120324,44648.12
120435,44648.62
120546,44615.48
120657,44569.66
120768,44570.4
120879,44573.32
120990,44576.24
121101,44578.44
121212,44579.18
121323,44581.12
121434,44581.6
121545,44583.56
121656,44588.18
121767,44602.08
121878,44627.42
121989,44647.88
122100,44653.24
122211,44637.4
122322,44585.76
122433,44572.84
122544,44576.74
122655,44579.42
122766,44581.36
122877,44583.06
122988,44583.8
123099,44585.02
123210,44586
123321,44586.96
123432,44597.7
123543,44614.5
123654,44641.3
123765,44654.96
123876,44656.66
123987,44622.06
124098,44575.28
124209,44576.24
124320,44579.42
124431,44581.86
124542,44583.8
124653,44585.26
124764,44586.24
124875,44587.22
124986,44587.94
125097,44593.3
125208,44606.46
125319,44630.82
125430,44652.76
125541,44660.8
125652,44645.7
125763,44595.5
125874,44576.98
125985,44581.86
126096,44584.28
126207,44586.72
126318,44588.18
126429,44589.16
126540,44590.38
126651,44591.12
126762,44591.6
126873,44601.1
126984,44617.18
127095,44643.02
127206,44659.34
127317,44661.28
127428,44631.8
127539,44582.34
127650,44582.1
127761,44584.54
127872,44587.22
127983,44589.16
128094,44590.86
128205,44591.84
128316,44593.06
128427,44593.8
128538,44597.7
128649,44609.62
128760,44631.08
128871,44653.74
128982,44662.76
129093,44652.28
129204,44605
129315,44576.74
129426,44581.12
129537,44583.8
129648,44585.26
129759,44587.7
129870,44588.44
129981,44588.44
130092,44588.92
130203,44589.4
130314,44598.18
130425,44613.78
130536,44638.88
130647,44656.18
130758,44658.6
130869,44632.78
130980,44582.34
131091,44578.68
131202,44582.34
131313,44584.78
131424,44586
131535,44587.22
131646,44588.44
131757,44589.16
131868,44590.14
131979,44592.32
132090,44604.26
132201,44625.96
132312,44649.6
132423,44659.82
132534,44651.78
132645,44607.68
132756,44575.02
132867,44580.14
132978,44582.82
133089,44585.26
133200,44586
133311,44586.96
133422,44588.18
133533,44589.16
133644,44590.14
133755,44597.44
133866,44613.04
133977,44638.38
134088,44656.42
134199,44658.86
134310,44630.82
134421,44580.64
134532,44578.68
134643,44582.58
134754,44584.78
134865,44586.96
134976,44588.44
135087,44589.9
135198,44590.86
135309,44592.08
135420,44596.22
135531,44609.14
135642,44632.78
135753,44654.22
135864,44661.28
135975,44646.92
136086,44593.8
136197,44579.42
136308,44582.58
136419,44585.02
136530,44586.96
136641,44587.94
136752,44589.16
136863,44590.38
136974,44591.36
137085,44592.32
137196,44604.26
137307,44622.78
137418,44648.38
137529,44659.58
137640,44652.28
137751,44611.1
137862,44576.5
137973,44580.88
138084,44583.32
138195,44585.5
138306,44587.22
138417,44588.44
138528,44589.64
138639,44590.62
138750,44590.62
138861,44599.16
138972,44615
139083,44640.08
139194,44658.12
139305,44658.36
139416,44623.04
139527,44578.2
139638,44579.9
139749,44583.32
139860,44585.26
139971,44586.96
140082,44588.44
140193,44589.64
140304,44590.62
140415,44590.62
140526,44595.5
140637,44609.62
140748,44632.78
140859,44654.46
140970,44659.82
141081,44640.34
141192,44585.26
141303,44577.46
141414,44581.36
141525,44584.28
141636,44585.76
141747,44587.94
141858,44588.68
141969,44588.92
142080,44590.14
142191,44591.6
142302,44604.76
142413,44624.5
142524,44648.38
142635,44659.82
142746,44651.54
142857,44608.9
142968,44576.98
143079,44581.86
143190,44584.54
143301,44586.48
143412,44588.18
143523,44589.4
143634,44590.62
143745,44591.12
143856,44591.36
143967,44598.9
144078,44613.78
144189,44636.92
144300,44655.68
144411,44659.58
144522,44636.2
144633,44585.02
144744,44580.88
144855,44584.54
144966,44587.46
145077,44589.16
145188,44591.12
145299,44592.08
145410,44593.06
145521,44594.04
145632,44596.72
145743,44609.14
145854,44629.86
145965,44653.74
146076,44664.22
146187,44656.66
146298,44613.52
146409,44581.12
146520,44586
146631,44589.4
146742,44591.6
146853,44593.8
146964,44596.22
147075,44597.2
147186,44598.9
147297,44599.88
147408,44608.66
147519,44624
147630,44648.86
147741,44667.86
147852,44671.04
147963,44647.64
148074,44596.96
148185,44592.82
148296,44596.72
148407,44600.38
148518,44602.32
148629,44604.76
148740,44605.98
148851,44607.68
148962,44608.16
149073,44611.58
149184,44624.26
149295,44644.96
149406,44670.54
149517,44680.54
149628,44668.12
149739,44620.1
149850,44598.66
149961,44603.06
150072,44606.7
150183,44608.42
150294,44610.6
150405,44611.82
150516,44613.28
150627,44614.26
150738,44614.5
150849,44625.72
150960,44642.76
151071,44667.38
151182,44684.2
151293,44680.78
151404,44640.82
151515,44601.34
151626,44606.94
151737,44610.6
151848,44613.28
151959,44614.74
152070,44616.7
152181,44619.14
152292,44620.36
152403,44620.36
152514,44629.62
152625,44645.44
152736,44670.3
